Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MEDELLÍN (Código: 5001000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: CAJIBÍO (Código: 19130000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: EL CARMELO (Código: 19130004), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: EL ROSARIO (Código: 19130005), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: LA CAPILLA (Código: 19130006), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: LA PEDREGOSA (Código: 19130007), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: LA VENTA (Código: 19130008), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: SANTA TERESA DE CASAS BAJAS (Código: 19130009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: ORTEGA (Código: 19130010), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: EL CAIRO (Código: 19130017), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: EL COFRE (Código: 19130018), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: ISLA DEL PONTON (Código: 19130019), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: LA LAGUNA DINDE (Código: 19130020), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: RESGUARDO INDÍGENA DEL GUAYABAL CXAYUGE FXIW  (Código: 19130021), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CAJIBÍO (Código: 19130), Centro Poblado: URBANIZACIÓN LAS MARGARITAS (Código: 19130022), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: CALDONO (Código: 19137000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: CERRO ALTO (Código: 19137001), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: EL PITAL (Código: 19137002), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: PESCADOR (Código: 19137004), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: PUEBLO NUEVO (Código: 19137007), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: SIBERIA (Código: 19137008), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALDONO (Código: 19137), Centro Poblado: CRUCERO DE PESCADOR (Código: 19137013), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: CALOTO (Código: 19142000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: EL PALO (Código: 19142004), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: HUASANÓ (Código: 19142007), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: QUINTERO (Código: 19142011), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: LA ARROBLEDA (Código: 19142015), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: CRUCERO DE GUALÍ (Código: 19142030), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: HUELLAS (Código: 19142031), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: ALTO EL PALO (Código: 19142032), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: BODEGA ARRIBA (Código: 19142034), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: EL NILO (Código: 19142038), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: EL GUÁSIMO (Código: 19142039), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: TOEZ (Código: 19142045), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: LÓPEZ ADENTRO (Código: 19142050), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: MORALES (Código: 19142051), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CALOTO (Código: 19142), Centro Poblado: PÍLAMO (Código: 19142056), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: CORINTO (Código: 19212000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: EL JAGUAL (Código: 19212001), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: MEDIA NARANJA (Código: 19212004), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: RIONEGRO (Código: 19212005), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: SAN RAFAEL (Código: 19212008), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: EL BARRANCO (Código: 19212009), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: CORINTO (Código: 19212), Centro Poblado: QUEBRADITAS (Código: 19212010), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: EL TAMBO (Código: 19256000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: ALTO DEL REY (Código: 19256001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: CUATRO ESQUINAS (Código: 19256004), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: CHAPA (Código: 19256005), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: EL PLACER (Código: 19256007), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: EL ZARZAL (Código: 19256009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: HUISITÓ (Código: 19256012), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: LA ALIANZA (Código: 19256013), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: LA PAZ (Código: 19256014), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: LOS ANAYES (Código: 19256015), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: LOS ANDES (Código: 19256016), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: PANDIGUANDO (Código: 19256019), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: PIAGUA (Código: 19256020), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: QUILCACÉ (Código: 19256022), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: SAN JOAQUÍN (Código: 19256025), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: SEGUENGUE (Código: 19256027), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: URIBE (Código: 19256028), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: FONDAS (Código: 19256029), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: BUENA VISTA (Código: 19256031), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: LAS BOTAS (Código: 19256032), Tipo: CASERÍO (CAS)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: CABUYAL (Código: 19256033), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: EL CRUCERO DEL PUEBLO (Código: 19256034), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: PLAYA RICA (Código: 19256036), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: AIRES DE OCCIDENTE (Código: 19256058), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: EL CRUCERO DE PANDIGUANDO (Código: 19256059), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: EL RECUERDO (Código: 19256060), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: LA CHICUEÑA (Código: 19256061), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: EL TAMBO (Código: 19256), Centro Poblado: PUENTE DEL RÍO TIMBIO (Código: 19256062), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: FLORENCIA (Código: 19290), Centro Poblado: FLORENCIA (Código: 19290000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: FLORENCIA (Código: 19290), Centro Poblado: EL ROSARIO (Código: 19290001), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: FLORENCIA (Código: 19290), Centro Poblado: MARSELLA (Código: 19290002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: GUACHENÉ (Código: 19300000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: BARRAGAN (Código: 19300004), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: CAMPOALEGRE (Código: 19300005), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: CAPONERA 1 (Código: 19300006), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: CAPONERA SECTOR PALO BLANCO (Código: 19300007), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: CIENAGA HONDA (Código: 19300008), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: GUABAL (Código: 19300009), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: GUABAL 1 (Código: 19300010), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: GUABAL 2 (Código: 19300011), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: LA CABAÑA (Código: 19300012), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: LA CABAÑITA (Código: 19300013), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: LA DOMINGA (Código: 19300014), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: LLANO DE TAULA ALTO (Código: 19300015), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: LLANO DE TAULA BAJO (Código: 19300016), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: MINGO (Código: 19300017), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: OBANDO (Código: 19300018), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: OBANDO SECTOR LA ESPERANZA (Código: 19300019), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: SABANETA (Código: 19300020), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: SAN ANTONIO (Código: 19300021), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: SAN JACINTO (Código: 19300022), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUACHENÉ (Código: 19300), Centro Poblado: SAN JOSÉ (Código: 19300023), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: GUAPÍ (Código: 19318000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: ALFONSO LÓPEZ (BALSITAS) (Código: 19318001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: BENJAMÍN HERRERA (SAN VICENTE) (Código: 19318002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CALLELARGA (Código: 19318003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CONCEPCIÓN DE GUAJUÍ (Código: 19318004), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: EL CARMELO (Código: 19318005), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SOLEDAD (Código: 19318007), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: LIMONES (Código: 19318008), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: EL ROSARIO (Código: 19318011), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SAN AGUSTÍN (Código: 19318012), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SAN ANTONIO DE GUAJUÍ (Código: 19318013), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SAN FRANCISCO (Código: 19318014), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: URIBE URIBE (EL NARANJO) (Código: 19318015), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: BOCA DE NAPÍ (Código: 19318016), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: EL ATAJO (Código: 19318017), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: LLANTÍN (Código: 19318018), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SANTA CLARA (Código: 19318019), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CASCAJERO (Código: 19318020), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CHAMÓN (Código: 19318021), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CHANZARÁ (Código: 19318022), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: LAS JUNTAS (Código: 19318023), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: QUIROGA (Código: 19318024), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CHUARE (Código: 19318025), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SAN JOSE DE GUARE (Código: 19318026), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: BELÉN (Código: 19318027), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: CAIMITO (Código: 19318028), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: GUAPÍ (Código: 19318), Centro Poblado: SANTA ANA (Código: 19318029), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: INZÁ (Código: 19355000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: CALDERAS (Código: 19355001), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: PEDREGAL (Código: 19355002), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: PUERTO VALENCIA (Código: 19355003), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: SAN ANDRÉS (Código: 19355004), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: TUMBICHUCUE (Código: 19355008), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: TURMINÁ (Código: 19355009), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: LA MILAGROSA (Código: 19355016), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: INZÁ (Código: 19355), Centro Poblado: YAQUIVÁ (Código: 19355017), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: JAMBALÓ (Código: 19364), Centro Poblado: JAMBALÓ (Código: 19364000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: LA SIERRA (Código: 19392), Centro Poblado: LA SIERRA (Código: 19392000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: LA SIERRA (Código: 19392), Centro Poblado: LA DEPRESIÓN (Código: 19392001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LA SIERRA (Código: 19392), Centro Poblado: LA CUCHILLA (Código: 19392005), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LA SIERRA (Código: 19392), Centro Poblado: LA CUCHILLA ALTA (Código: 19392006), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: LA VEGA (Código: 19397000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: ALTAMIRA (Código: 19397001), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: ARBELA (Código: 19397002), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: EL PALMAR (Código: 19397004), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: GUACHICONO (Código: 19397005), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: LOS UVOS (Código: 19397006), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: PANCITARÁ (Código: 19397007), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: SAN MIGUEL (Código: 19397009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: SANTA BÁRBARA (Código: 19397010), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: SANTA JUANA (Código: 19397011), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: ALBANIA (Código: 19397012), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: BARBILLAS (Código: 19397018), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LA VEGA (Código: 19397), Centro Poblado: SANTA RITA (Código: 19397019), Tipo: CENTRO POBLADO (CP)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: LÓPEZ (Código: 19418000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: NOANAMITO (Código: 19418009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: PLAYA GRANDE (Código: 19418010), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: SAN ANTONIO DE CHUARE (Código: 19418012), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: SAN ISIDRO (Código: 19418015), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: SAN PEDRO DE NAYA (Código: 19418016), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: CAUCA (Código: 19), Municipio: LÓPEZ DE MICAY (Código: 19418), Centro Poblado: TAPARAL (Código: 19418018), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
